prediction_week,actual_ISO_week
26,"26, 2020"
27,"27, 2020"
28,"28, 2020"
29,"29, 2020"
30,"30, 2020"
31,"31, 2020"
32,"32, 2020"
33,"33, 2020"
34,"34, 2020"
35,"35, 2020"
36,"36, 2020"
37,"37, 2020"
38,"38, 2020"
39,"39, 2020"
40,"40, 2020"
41,"41, 2020"
42,"42, 2020"
43,"43, 2020"
44,"44, 2020"
45,"45, 2020"
46,"46, 2020"
47,"47, 2020"
48,"48, 2020"
49,"49, 2020"
50,"50, 2020"
51,"51, 2020"
52,"52, 2020"
53,"53, 2020"
54,"1, 2021"
55,"2, 2021"
56,"3, 2021"
57,"4, 2021"
58,"5, 2021"
59,"6, 2021"
60,"7, 2021"
61,"8, 2021"
62,"9, 2021"
63,"10, 2021"
64,"11, 2021"
65,"12, 2021"
66,"13, 2021"
67,"14, 2021"
68,"15, 2021"
69,"16, 2021"
70,"17, 2021"
71,"18, 2021"
72,"19, 2021"
73,"20, 2021"
74,"21, 2021"
75,"22, 2021"
76,"23, 2021"
77,"24, 2021"
78,"25, 2021"
79,"26, 2021"
80,"27, 2021"
